,Artist,Title
1418,Rachel Platten,Fight Song
1419,Fetty Wap feat. Remy Boyz,679
1420,Meghan Trainor,Lips Are Movin
1421,Fifth Harmony feat. Kid Ink,Worth It
1422,Omarion feat. Chris Brown and Jhene Aiko,Post To Be
1423,Andy Grammer,"Honey, I’m Good."
1424,Sam Smith,I’m Not The Only One
1425,Selena Gomez feat. A$AP Rocky,Good For You
1427,Taylor Swift,Style
1428,Drake,Hotline Bling
1429,"David Guetta feat. Nicki Minaj, Bebe Rexha and Afrojack",Hey Mama
1430,Flo Rida feat. Sage The Gemini and Lookas,G.D.F.R.
1431,Justin Bieber,What Do You Mean?
1432,Ed Sheeran,Photograph
1433,Adele,Hello
1434,Shawn Mendes,Stitches
1435,Tove Lo,Talking Body
1436,Nick Jonas,Jealous
1437,Pitbull and Ne-Yo,Time Of Our Lives
1438,R. City feat. Adam Levine,Locked Away
1439,Natalie La Rose feat. Jeremih,Somebody
1440,"Rihanna, Kanye West, and Paul McCartney",FourFiveSeconds
1441,Fall Out Boy,Centuries
1442,Fetty Wap feat. Monty,My Way
1443,Sam Hunt,Take Your Time
1445,Big Sean feat. E-40,I Don’t F**k With You
1446,Rihanna,B**** Better Have My Money
1447,Rich Homie Quan,Flex (Ooh Ooh Ooh)
1448,T-Wayne,Nasty Freestyle
1449,"Nicki Minaj feat. Drake, Lil Wayne and Chris Brown",Only
1450,Sia,Elastic Heart
1451,Demi Lovato,Cool For The Summer
1452,X Ambassadors,Renegades
1453,Usher feat. Juicy J,I Don’t Mind
1454,Ariana Grande and The Weeknd,Love Me Harder
1455,Taylor Swift,Wildest Dreams
1457,DJ Snake and Alunageorge,You Know You Like It
1458,Fall Out Boy,Uma Thurman
1459,Beyonce,11-Jul
1460,Selena Gomez,The Heart Wants What It Wants
1461,Little Big Town,Girl Crush
1462,Trey Songz,Slow Motion
1463,One Direction,Drag Me Down
1464,Nicki Minaj feat. Drake and Lil Wayne,Truffle Butter
1465,Ariana Grande,One Last Time
1466,Nick Jonas,Chains
1467,Meek Mill feat. Chris Brown and Nicki Minaj,All Eyes On You
1468,Rae Sremmurd,No Type
1469,Vance Joy,Riptide
1470,Jidenna feat. Roman GianArthur,Classic Man
1471,Elle King,Ex’s and Oh’s
1472,Meghan Trainor,Dear Future Husband
1473,Charlie Puth feat. Meghan Trainor,Marvin Gaye
1474,Meghan Trainor feat. John Legend,Like I’m Gonna Lose You
1476,James Newton Howard feat. Jennifer Lawrence,The Hanging Tree
1477,O.T. Genasis,Coco
1478,"Jessie J, Ariana Grande and Nicki Minaj",Bang Bang
1479,Sam Smith,Lay Me Down
1480,iLoveMakonnen feat. Drake,Tuesday
1481,iLoveMemphis,Hit The Quan
1482,"Macklemore and Ryan Lewis feat. Eric Nally, Melle Mel, Kool Moe Dee and Grandmaster Caz",Downtown
1483,Sam Hunt,House Party
1484,Chris Brown and Tyga,Ayo
1485,Luke Bryan,Kick The Dust Up
1486,Big Sean feat. Drake,Blessings
1487,George Ezra,Budapest
1489,Kelly Clarkson,Heartbeat Song
1491,Ella Henderson,Ghost
1492,Alessia Cara,Here
1493,Mr. Probz,Waves
1494,Nicky Jam and Enrique Iglesias,El Perdon (Forgiveness)
1495,Ne-Yo feat. Juicy J,She Knows
1496,One Direction,Night Changes
1497,Drake,Back To Back
1498,Calvin Harris and Disciples,How Deep Is Your Love
1499,Justin Bieber,Love Yourself
1500,Justin Bieber,Sorry
1501,Drake feat. WizKid and Kyla,One Dance
1502,Rihanna feat. Drake,Work
1503,twenty one pilots,Stressed Out
1504,Desiigner,Panda
1506,Chainsmokers feat. Daya,Don’t Let Me Down
1507,Justin Timberlake,Can’t Stop The Feeling!
1508,Chainsmokers feat. Halsey,Closer
1509,Sia feat. Sean Paul,Cheap Thrills
1510,Lukas Graham,7 Years
1511,Rihanna,Needed Me
1512,Flo Rida,My House
1513,Mike Posner,I Took A Pill In Ibiza
1514,Fifth Harmony feat. Ty Dolla $ign,Work From Home
1515,Calvin Harris feat. Rihanna,This Is What You Came For
1516,DNCE,Cake By The Ocean
1517,G-Eazy x Bebe Rexha,"Me, Myself and I"
1518,twenty one pilots,Ride
1519,twenty one pilots,Heathens
1520,Zayn,Pillowtalk
1523,Major Lazer feat. Justin Bieber and MO,Cold Water
1524,Adele,Send My Love (To Your New Lover)
1525,Chainsmokers feat. Rozes,Roses
1526,Shawn Mendes,Treat You Better
1527,Drake feat. Rihanna,Too Good
1528,Future feat. The Weeknd,Low Life
1529,Justin Bieber,What Do You Mean?
1531,P!nk,Just Like Fire
1532,D.R.A.M. feat. Lil Yachty,Broccoli
1533,Bryson Tiller,Don’t
1534,Ariana Grande,Dangerous Woman
1535,Drake and Future,Jumpman
1536,gnash feat. Olivia O’Brien,I Hate U I Love U
1538,Selena Gomez,Same Old Love
1539,Drake,Controlla
1541,Charlie Puth,One Call Away
1542,James Bay,Let It Go
1543,Meghan Trainor,No
1544,Zara Larsson and MNEK,Never Forget You
1545,DJ Snake feat. Justin Bieber,Let Me Love You
1546,Kent Jones,Don’t Mind
1547,Florida Georgia Line,H.O.L.Y.
1548,Charlie Puth feat. Selena Gomez,We Don’t Talk Anymore
1549,Ariana Grande,Into You
1550,Kiiara,Gold
1551,Bryson Tiller,Exchange
1553,Jeremih,Oui
1554,Selena Gomez,Hands To Myself
1555,Kevin Gates,2 Phones
1556,Weeknd feat. Daft Punk,Starboy
1557,DJ Khaled feat. Drake,For Free
1558,Flume feat. Kai,Never Be Like You
1559,Weeknd,In The Night
1560,Meghan Trainor,Me Too
1562,Thomas Rhett,Die A Happy Man
1563,Post Malone,White Iverson
1564,Nick Jonas feat. Tove Lo,Close
1565,X Ambassadors,Unsteady
1566,"Lil Wayne, Wi",Sucker For Pain
1567,Yo Gotti feat. Nicki Minaj,Down In The Dm
1568,Tory Lanez,Luv
1569,Beyonce,Sorry
1571,Coldplay,Hymn For The Weekend
1572,Tory Lanez,Say It
1573,Travis Scott,Antidote
1574,Ruth B,Lost Boy
1575,Ariana Grande feat. Nicki Minaj,Side To Side
1576,Daya,"Sit Still, Look Pretty"
1578,DJ Snake feat. Bipolar Sunshine,Middle
1579,Ellie Goulding,On My Mind
1580,Drake feat. The Throne,Pop Style
1581,Adele,When We Were Young
1582,Daya,Hide Away
1583,Major Lazer and DJ Snake feat. MO,Lean On
1584,Shawn Mendes and Camila Cabello,I Know What You Did Last Summer
1585,"Fat Joe, Rem",All The Way Up
1586,Silento,Watch Me
1587,Chris Brown,Back To Sleep
1588,Usher feat. Young Thug,No Limit
1589,O.T. Genasis feat. Young Dolph,Cut It
1590,Kevin Gates,Really Really
1591,Fifth Harmony feat. Fetty Wap,All In My Head (Flex)
1592,Hailee Steinfeld and Grey feat. Zedd,Starving
1593,Coldplay,Adventure Of A Lifetime
1594,Tim McGraw,Humble And Kind
1595,Future,Wicked
1596,Desiigner,Tiimmy Turner
1598,One Direction,Perfect
1599,Ed Sheeran,Shape Of You
1600,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito
1601,Bruno Mars,That’s What I Like
1602,Kendrick Lamar,Humble.
1603,The Chainsmokers & Coldplay,Something Just Like This
1604,Migos Featuring Lil Uzi Vert,Bad And Boujee
1605,The Chainsmokers Featuring Halsey,Closer
1606,Sam Hunt,Body Like A Back Road
1607,Imagine Dragons,Believer
1608,Post Malone Featuring Quavo,Congratulations
1609,James Arthur,Say You Won’t Let Go
1610,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",I’m The One
1611,Lil Uzi Vert,XO TOUR Llif3
1612,Future,Mask Off
1613,French Montana Featuring Swae Lee,Unforgettable
1614,Bruno Mars,24K Magic
1615,Zedd & Alessia Cara,Stay
1616,DJ Khaled Featuring Rihanna & Bryson Tiller,Wild Thoughts
1617,Rae Sremmurd Featuring Gucci Mane,Black Beatles
1618,The Weeknd Featuring Daft Punk,Starboy
1619,Khalid,Location
1620,Charlie Puth,Attention
1621,Shawn Mendes,There’s Nothing Holdin’ Me Back
1622,Cardi B,Bodak Yellow (Money Moves)
1623,Childish Gambino,Redbone
1624,Zayn / Taylor Swift,I Don’t Wanna Live Forever (Fifty Shades Darker)
1625,Kygo x Selena Gomez,It Ain’t Me
1626,KYLE Featuring Lil Yachty,iSpy
1627,Julia Michaels,Issues
1628,Alessia Cara,Scars To Your Beautiful
1629,Logic Featuring Alessia Cara & Khalid,1-800-273-8255
1630,Niall Horan,Slow Hands
1631,Rihanna,Love On The Brain
1632,The Weeknd Featuring Daft Punk,I Feel It Coming
1633,Big Sean,Bounce Back
1634,Liam Payne Featuring Quavo,Strip That Down
1635,Drake,Fake Love
1636,Maroon 5 Featuring Kendrick Lamar,Don’t Wanna Know
1637,Taylor Swift,Look What You Made Me Do
1638,Ed Sheeran,Castle On The Hill
1639,Machine Gun Kelly x Camila Cabello,Bad Things
1640,The Chainsmokers,Paris
1641,Ariana Grande Featuring Nicki Minaj,Side To Side
1642,Clean Bandit Featuring Sean Paul & Anne-Marie,Rockabye
1643,Portugal. The Man,Feel It Still
1644,DJ Snake Featuring Justin Bieber,Let Me Love You
1645,Demi Lovato,Sorry Not Sorry
1646,21 Savage,Bank Account
1648,J Balvin & Willy William Featuring Beyonce,Mi Gente
1649,Imagine Dragons,Thunder
1650,Migos,T-Shirt
1651,Yo Gotti Featuring Nicki Minaj,Rake It Up
1652,Shawn Mendes,Mercy
1653,Kodak Black,Tunnel Vision
1654,Post Malone Featuring 21 Savage,Rockstar
1655,Brett Young,In Case You Didn’t Know
1657,Halsey,Now Or Never
1658,Amine,Caroline
1659,Ayo & Teo,Rolex
1660,Kendrick Lamar,DNA.
1661,Zay Hilfigerrr & Zayion McCall,Juju On That Beat (TZ Anthem)
1662,Rae Sremmurd,Swang
1663,Drake,Passionfruit
1664,Kendrick Lamar Featuring Rihanna,Loyalty.
1665,Kesha,Praying
1666,Travis Scott,Goosebumps
1667,Maroon 5 Featuring Future,Cold
1668,D.R.A.M. Featuring Lil Yachty,Broccoli
1669,Calvin Harris Featuring Frank Ocean & Migos,Slide
1670,Kane Brown Featuring Lauren Alaina,What Ifs
1671,Katy Perry Featuring Skip Marley,Chained To The Rhythm
1672,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",Feels
1673,Jon Bellion,All Time Low
1674,Luke Combs,Hurricane
1675,Sam Smith,Too Good At Goodbyes
1676,Khalid,Young Dumb & Broke
1677,Playboi Carti,Magnolia
1678,SZA Featuring Travis Scott,Love Galore
1679,A Boogie Wit da Hoodie Featuring Kodak Black,Drowning
1680,Hailee Steinfeld & Grey Featuring Zedd,Starving
1681,Gucci Mane Featuring Drake,Both
1682,P!nk,What About Us
1683,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,Swalla
1684,Migos Featuring Gucci Mane,Slippery
1685,Harry Styles,Sign Of The Times
1686,Adele,Water Under The Bridge
1687,Miley Cyrus,Malibu
1688,Marian Hill,Down
1689,Cheat Codes Featuring Demi Lovato,No Promises
1691,Gucci Mane Featuring Migos,I Get The Bag
1692,Dustin Lynch,Small Town Boy
1693,YFN Lucci Featuring PnB Rock,Everyday We Lit
1694,Camila Cabello Featuring Young Thug,Havana
1695,Maroon 5 Featuring SZA,What Lovers Do
1696,Blackbear,Do Re Mi
1697,XXXTentacion,Look At Me!
1698,Keith Urban Featuring Carrie Underwood,The Fighter
1699,Drake,God’s Plan
1700,Ed Sheeran,Perfect
1701,Bebe Rexha & Florida Georgia Line,Meant To Be
1702,Camila Cabello Featuring Young Thug,Havana
1704,Post Malone Featuring Ty Dolla $ign,Psycho
1705,"Cardi B, Bad Bunny & J Balvin",I Like It
1706,"Zedd, Maren Morris & Grey",The Middle
1707,Drake,In My Feelings
1708,Maroon 5 Featuring Cardi B,Girls Like You
1709,Drake,Nice For What
1710,Juice WRLD,Lucid Dreams
1711,Post Malone,Better Now
1712,Bruno Mars & Cardi B,Finesse
1713,Ella Mai,Boo’d Up
1714,Dua Lipa,New Rules
1715,XXXTENTACION,Sad!
1716,Camila Cabello,Never Be The Same
1717,Khalid & Normani,Love Lies
1718,Ariana Grande,No Tears Left To Cry
1719,Bazzi,Mine
1721,BlocBoy JB Featuring Drake,Look Alive
1722,Taylor Swift,Delicate
1723,Lil Baby & Drake,Yes Indeed
1724,Marshmello & Anne-Marie,Friends
1725,Halsey,Bad At Love
1726,Tyga Featuring Offset,Taste
1727,NF,Let You Down
1728,G-Eazy Featuring A$AP Rocky & Cardi B,No Limit
1729,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE
1730,Dan + Shay,Tequila
1732,"Migos, Nicki Minaj & Cardi B",MotorSport
1733,Lauv,I Like Me Better
1734,5 Seconds Of Summer,Youngblood
1735,Imagine Dragons,Whatever It Takes
1736,Offset & Metro Boomin,Ric Flair Drip
1737,Post Malone,I Fall Apart
1738,The Weeknd & Kendrick Lamar,Pray For Me
1739,Selena Gomez,Back To You
1740,Travis Scott,Sicko Mode
1741,Migos Featuring Drake,Walk It Talk It
1742,Lil Pump,Gucci Gang
1743,G-Eazy & Halsey,Him & I
1744,Shawn Mendes,In My Blood
1745,Kendrick Lamar & SZA,All The Stars
1746,Migos,Stir Fry
1748,Kendrick Lamar Featuring Zacari,Love.
1749,Childish Gambino,This Is America
1750,Drake,Nonstop
1751,Kane Brown,Heaven
1753,Lil Dicky Featuring Chris Brown,Freaky Friday
1754,6ix9ine,Gummo
1755,Rich The Kid,Plug Walk
1756,Maroon 5,Wait
1757,Cardi B,Be Careful
1758,Selena Gomez X Marshmello,Wolves
1759,Cardi B Featuring 21 Savage,Bartier Cardi
1760,Ariana Grande,God Is A Woman
1761,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank
1763,Charlie Puth,How Long
1764,MAX Featuring gnash,Lights Down Low
1766,Calvin Harris & Dua Lipa,One Kiss
1767,Imagine Dragons,Natural
1768,Jason Aldean,You Make It Easy
1771,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",No Brainer
1772,A$AP Ferg Featuring Nicki Minaj,Plain Jane
1773,Miguel Featuring Travis Scott,Sky Walker
1774,Thomas Rhett,Marry Me
1775,"Benny Blanco, Halsey & Khalid",Eastside
1776,The Weeknd,Call Out My Name
1777,"Jay Rock, Kendrick Lamar, Future & James Blake",King’s Dead
1778,Marshmello & Bastille,Happier
1779,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote
1780,Florida Georgia Line,Simple
1781,N*E*R*D & Rihanna,Lemon
1783,Justin Timberlake Featuring Chris Stapleton,Say Something
1784,Drake,I’m Upset
1785,Kenny Chesney,Get Along
1786,XXXTENTACION,Moonlight
1788,Nicky Jam x J Balvin,X
1789,YoungBoy Never Broke Again,Outside Today
1790,Ella Mai,Trip
1791,Daddy Yankee,Dura
1792,XXXTENTACION,Changes
1793,Brett Young,Mercy
1794,Luke Combs,One Number Away
1795,Rae Sremmurd & Juicy J,Powerglide
1796,Dua Lipa,IDGAF
1799,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road
1800,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse)
1801,Halsey,Without Me
1802,Billie Eilish,Bad Guy
1803,Post Malone,Wow.
1805,Ariana Grande,7 Rings
1806,Khalid,Talk
1808,Jonas Brothers,Sucker
1809,Panic! At The Disco,High Hopes
1810,Ariana Grande,"Thank U, Next"
1811,Lizzo,Truth Hurts
1812,Sam Smith & Normani,Dancing With A Stranger
1813,Shawn Mendes & Camila Cabello,Senorita
1814,Ed Sheeran & Justin Bieber,I Don’t Care
1815,"benny blanco, Halsey & Khalid",Eastside
1816,Meek Mill Featuring Drake,Going Bad
1817,Lady Gaga & Bradley Cooper,Shallow
1818,Khalid,Better
1819,Chris Brown Featuring Drake,No Guidance
1821,Ava Max,Sweet But Psycho
1822,DaBaby,Suge
1823,J. Cole,Middle Child
1824,Lil Baby & Gunna,Drip Too Hard
1825,Lewis Capaldi,Someone You Loved
1826,Lil Tecca,Ran$om
1827,Shawn Mendes,If I Can’t Have You
1828,Post Malone Featuring Young Thug,Goodbyes
1829,Kodak Black Featuring Travis Scott & Offset,ZEZE
1832,Drake Featuring Rick Ross,Money In The Grave
1833,Dan + Shay,Speechless
1834,Ariana Grande,"Break Up With Your Girlfriend, I’m Bored"
1835,Cardi B & Bruno Mars,Please Me
1836,Cardi B,Money
1837,Taylor Swift,You Need To Calm Down
1838,Lil Nas X,Panini
1839,A Boogie Wit da Hoodie,Look Back At It
1840,21 Savage,A Lot
1841,Taylor Swift Featuring Brendon Urie,ME!
1842,Bad Bunny Featuring Drake,MIA
1843,Polo G Featuring Lil Tjay,Pop Out
1844,Luke Combs,Beautiful Crazy
1845,Blueface,Thotiana
1847,Sheck Wes,MoBamba
1848,Ed Sheeran Featuring Khalid,Beautiful People
1849,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky
1850,Morgan Wallen,Whiskey Glasses
1851,Blake Shelton,God’s Country
1852,Dean Lewis,Be Alright
1853,Mustard & Migos,Pure Water
1854,Blanco Brown,The Git Up
1855,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Taki Taki
1856,Ellie Goulding X Diplo Featuring Swae Lee,Close To Me
1857,Calboy,Envy Me
1858,Lauren Daigle,You Say
1859,Panic! At The Disco,"Hey Look Ma, I Made It"
1860,Post Malone,Circles
1861,Luke Combs,Beer Never Broke My Heart
1862,"Young Thug, J. Cole & Travis Scott",The London
1863,Daddy Yankee & Katy Perry Featuring Snow,Con Calma
1864,YNW Melly,Murder On My Mind
1865,Billie Eilish,When The Party’s Over
1866,City Girls,Act Up
1868,SHAED,Trampoline
1869,Flipp Dinero,Leave Me Alone
1870,Ariana Grande,Breathin
1871,Billie Eilish,Bury A Friend
1872,Lil Baby,Close Friends
1873,Pinkfong,Baby Shark
1874,Saweetie,My Type
1875,YK Osiris,Worth It
1876,Jonas Brothers,Only Human
1877,Luke Bryan,Knockin’ Boots
1879,Lee Brice,Rumor
1880,A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin
1881,Sam Smith,How Do You Sleep?
1882,Lil Baby & DaBaby,Baby
1883,Thomas Rhett,Look What God Gave Her
1884,Kane Brown,Good As You
1885,Offset Featuring Cardi B,Clout
1887,Marshmello & Kane Brown,One Thing Right
1888,Megan Thee Stallion Featuring DaBaby,Cash Shit
1890,NLE Choppa,Shotta Flow
1891,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",Hot Girl Summer
1892,Florida Georgia Line,Talk You Out Of It
1893,Bazzi Featuring Camila Cabello,Beautiful
1894,Chase Rice,Eyes On You
1895,Dan + Shay,All To Myself
1896,Ariana Grande & Social House,Boyfriend
1897,P!nk,Walk Me Home
1898,Juice WRLD,Robbery
1899,The Weeknd,Blinding Lights
1901,Roddy Ricch,The Box
1902,Dua Lipa,Don’t Start Now
1903,DaBaby Featuring Roddy Ricch,Rockstar
1904,Harry Styles,Adore You
1905,Future Featuring Drake,Life Is Good
1906,Maroon 5,Memories
1907,Maren Morris,The Bones
1909,Doja Cat,Say So
1910,Gabby Barrett Featuring Charlie Puth,I Hope
1911,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin
1912,Tones And I,Dance Monkey
1913,Megan Thee Stallion,Savage
1914,Arizona Zervas,Roxanne
1915,Justin Bieber Featuring Quavo,Intentions
1916,Billie Eilish,Everything I Wanted
1917,SAINt JHN,Roses
1918,Harry Styles,Watermelon Sugar
1919,Lewis Capaldi,Before You Go
1920,Trevor Daniel,Falling
1921,Dan + Shay & Justin Bieber,"10,000 Hours"
1922,Cardi B Featuring Megan Thee Stallion,WAP
1923,Mustard & Roddy Ricch,Ballin’
1924,blackbear,Hot Girl Bummer
1925,Lil Mosey,BlueberryFaygo
1926,The Weeknd,Heartless
1927,DaBaby,BOP
1928,Selena Gomez,Lose You To Love Me
1929,Lizzo,Good As Hell
1930,Drake,Toosie Slide
1931,Dua Lipa,Break My Heart
1932,Morgan Wallen,Chasin’ You
1933,Jawsh 685 x Jason Derulo,Savage Love (Laxed – Siren Beat)
1934,Chris Brown Featuring Drake,No Guidance
1935,Camila Cabello Featuring DaBaby,My Oh My
1936,BTS,Dynamite
1937,Chris Brown & Young Thug,Go Crazy
1938,Roddy Ricch Featuring Mustard,High Fashion
1939,Drake Featuring Lil Durk,Laugh Now Cry Later
1940,Lil Baby,Woah
1941,Powfu Featuring beabadoobee,Death Bed
1943,Travis Scott,HIGHEST IN THE ROOM
1945,24kGoldn Featuring iann dior,Mood
1946,Lady Gaga & Ariana Grande,Rain On Me
1947,Pop Smoke Featuring Lil Baby & DaBaby,For The Night
1948,Black Eyed Peas X J Balvin,RITMO (Bad BoysFor Life)
1949,Rod Wave,Heart On Ice
1950,Blake Shelton Duet With Gwen Stefani,Nobody But You
1952,Juice WRLD x Marshmello,Come & Go
1954,JP Saxe Featuring Julia Michaels,If The World Was Ending
1955,Lil Baby & 42 Dugg,We Paid
1956,Justin Bieber,Yummy
1957,Old Dominion,One ManBand
1958,Jason Aldean,Got WhatI Got
1959,Surfaces,Sunday Best
1960,Eminem Featuring Juice WRLD,Godzilla
1961,Juice WRLD & YoungBoy Never Broke Again,Bandit
1962,StaySolidRocky,Party Girl
1963,Maddie & Tae,Die From A Broken Heart
1964,DJ Khaled Featuring Drake,Popstar
1965,Mariah Carey,All I Want For Christmas Is You
1966,Lee Brice,One Of Them Girls
1967,Sam Hunt,Hard To Forget
1968,Luke Bryan,One Margarita
1970,Young Thug Featuring Gunna,Hot
1971,Carly Pearce & Lee Brice,I Hope You’reHappy Now
1972,Lil Baby,Emotionally Scarred
1973,YNW Melly & Juice WRLD,Suicidal
1974,Lil Baby,The BiggerPicture
1976,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo
1977,Lil Baby,Sum 2 Prove
1978,Ariana Grande & Justin Bieber,Stuck With U
1979,Pop Smoke Featuring Lil Tjay,Mood Swings
1980,Halsey,You Should Be Sad
1981,Pop Smoke,Dior
1982,BENEE Featuring Gus Dapperton,Supalonely
1983,Luke Combs,Even Though I’m Leaving
1984,"THE SCOTTS, Travis Scott & Kid Cudi",The Scotts
1985,Doja Cat & Tyga,Juicy
1986,Kane Brown With Swae Lee & Khalid,Be Like That
1987,Kane Brown,Homesick
1988,Rod Wave Featuring ATR Son Son,Rags2Riches
1989,Miranda Lambert,Bluebird
1990,Juice WRLD,Wishing Well
1991,Luke Combs Featuring Eric Church,Does To Me
1992,Jhene Aiko,P*$$y Fairy (OTW)
1993,surf mesa Featuring Emilee,ily
1994,Morgan Wallen,More Than My Hometown
1995,Luke Combs,Lovin’ On You
1996,Moneybagg Yo,Said Sum
1997,H.E.R. Featuring YG,Slide
1998,NLE Choppa Featuring Roddy Ricch,Walk Em Down
